,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000035928.14,120
ENSG00000036054.12,27
ENSG00000036549.12,10
ENSG00000037241.7,36
ENSG00000037474.14,27
ENSG00000037637.10,36
ENSG00000037897.16,19
ENSG00000038002.8,79
ENSG00000038210.12,8
ENSG00000038219.12,57
ENSG00000038274.16,117
ENSG00000039123.15,7
ENSG00000039523.17,1
ENSG00000039560.13,2
ENSG00000040275.16,2
ENSG00000040341.17,15
ENSG00000040487.12,20
ENSG00000040531.14,11
ENSG00000041353.9,1
ENSG00000041357.15,675
ENSG00000041880.14,6
ENSG00000041988.15,10
ENSG00000042088.13,21
ENSG00000042429.10,54
ENSG00000042445.13,11
ENSG00000042493.15,137
ENSG00000042753.11,327
ENSG00000043093.13,60
ENSG00000043514.15,84
ENSG00000044115.20,42
ENSG00000044574.7,1776
ENSG00000046604.12,173
ENSG00000046647.13,21
ENSG00000046651.14,39
ENSG00000046653.14,1
ENSG00000046774.9,204
ENSG00000047056.14,34
ENSG00000047188.15,13
ENSG00000047249.16,76
ENSG00000047315.14,20
ENSG00000047410.13,356
ENSG00000047579.19,76
ENSG00000047621.11,1
ENSG00000047634.14,5
ENSG00000047648.21,31
ENSG00000047849.21,77
ENSG00000047932.13,33
ENSG00000048162.19,25
ENSG00000048342.15,14
ENSG00000048392.11,11
ENSG00000048405.9,8
ENSG00000048544.5,335
ENSG00000048649.13,13
ENSG00000048740.17,88
ENSG00000048828.16,70
ENSG00000048991.16,7
ENSG00000049245.12,32
ENSG00000049246.14,73
ENSG00000049249.8,14
ENSG00000049323.15,1
ENSG00000049541.10,315
ENSG00000049618.21,20
ENSG00000049656.13,80
ENSG00000049860.13,133
ENSG00000049883.14,7
ENSG00000050130.17,59
ENSG00000050344.8,4
ENSG00000050393.11,122
ENSG00000050405.13,16
ENSG00000050426.15,51
ENSG00000050628.20,21
ENSG00000050748.17,41
ENSG00000051108.14,408
ENSG00000051180.16,73
ENSG00000051382.8,4
ENSG00000051523.10,1193
ENSG00000051596.9,22
ENSG00000051620.10,261
ENSG00000051825.14,8
ENSG00000052723.11,40
ENSG00000052749.13,2
ENSG00000052802.12,342
ENSG00000052841.14,4
ENSG00000053371.12,160
ENSG00000053372.4,38
ENSG00000053501.12,69
ENSG00000054116.11,96
ENSG00000054118.13,106
ENSG00000054148.17,283
ENSG00000054267.20,26
ENSG00000054277.12,17
ENSG00000054282.15,13
ENSG00000054523.16,12
ENSG00000054611.13,10
ENSG00000054796.12,20
ENSG00000054967.12,1
ENSG00000054983.16,7
ENSG00000055044.10,332
ENSG00000055070.16,34
ENSG00000055118.14,5
ENSG00000055130.15,51
ENSG00000055147.17,25
ENSG00000055208.17,45
ENSG00000055211.12,81
ENSG00000055483.19,7
ENSG00000055609.17,28
ENSG00000055917.15,36
ENSG00000055950.16,44
ENSG00000056050.6,221
ENSG00000056097.15,14
ENSG00000056277.15,15
ENSG00000056586.15,47
ENSG00000056972.18,21
ENSG00000057252.12,69
ENSG00000057608.16,66
ENSG00000057663.12,115
ENSG00000057757.9,149
ENSG00000057935.13,18
ENSG00000058063.15,7
ENSG00000058262.9,178
ENSG00000058272.15,56
ENSG00000058453.16,15
ENSG00000058668.14,6
ENSG00000058673.15,99
ENSG00000058729.10,25
ENSG00000058799.13,41
ENSG00000058804.11,40
ENSG00000059122.16,88
ENSG00000059573.8,46
ENSG00000059588.9,21
ENSG00000059691.11,17
ENSG00000059728.10,15
ENSG00000059804.15,144
ENSG00000060069.16,1
ENSG00000060138.12,325
ENSG00000060237.16,77
ENSG00000060339.13,49
ENSG00000060642.10,41
ENSG00000060688.12,133
ENSG00000060749.14,49
ENSG00000060762.18,107
ENSG00000060982.14,204
ENSG00000061656.9,1
ENSG00000061676.14,2
ENSG00000061794.12,287
ENSG00000061936.9,37
ENSG00000061987.14,1
ENSG00000062194.15,103
ENSG00000062485.18,59
ENSG00000062650.17,1
ENSG00000062716.10,109
ENSG00000062822.12,2
ENSG00000063046.17,70
ENSG00000063169.10,1
ENSG00000063177.12,2286
ENSG00000063180.8,6
ENSG00000063241.7,72
ENSG00000063244.12,16
ENSG00000063322.13,68
ENSG00000063587.13,16
ENSG00000063854.12,37
ENSG00000064102.14,134
ENSG00000064115.10,16
ENSG00000064199.6,1
ENSG00000064201.15,4
ENSG00000064313.11,16
ENSG00000064419.13,91
ENSG00000064490.13,55
ENSG00000064545.14,56
ENSG00000064601.16,1
ENSG00000064666.14,3
ENSG00000064687.12,27
ENSG00000064726.9,73
ENSG00000064933.16,17
ENSG00000064961.18,26
ENSG00000064995.16,124
ENSG00000065000.15,32
ENSG00000065057.7,22
ENSG00000065060.16,19
ENSG00000065135.8,197
ENSG00000065150.18,80
ENSG00000065154.11,187
ENSG00000065183.15,1
ENSG00000065268.10,57
ENSG00000065328.16,64
ENSG00000065427.14,121
ENSG00000065485.17,19
ENSG00000065491.8,19
ENSG00000065518.7,421
ENSG00000065526.10,63
ENSG00000065534.18,25
ENSG00000065548.17,306
ENSG00000065559.14,8
ENSG00000065613.13,1
ENSG00000065615.13,13
ENSG00000065675.14,65
ENSG00000065717.14,6
ENSG00000065802.11,11
ENSG00000065809.13,51
ENSG00000065833.8,23
ENSG00000065911.11,320
ENSG00000065978.17,174
ENSG00000066027.11,31
ENSG00000066044.13,156
ENSG00000066117.14,1
ENSG00000066136.19,133
ENSG00000066279.16,24
ENSG00000066294.14,44
ENSG00000066322.12,95
ENSG00000066336.11,10
