,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000113812.13,43
ENSG00000113838.12,1
ENSG00000113845.9,214
ENSG00000113851.13,33
ENSG00000113889.11,4
ENSG00000114021.11,25
ENSG00000114023.15,258
ENSG00000114030.12,3
ENSG00000114054.13,112
ENSG00000114062.17,81
ENSG00000114098.17,16
ENSG00000114107.8,31
ENSG00000114120.11,9
ENSG00000114125.13,390
ENSG00000114126.17,135
ENSG00000114127.10,9
ENSG00000114209.14,186
ENSG00000114268.11,2
ENSG00000114302.15,64
ENSG00000114315.3,1
ENSG00000114331.12,112
ENSG00000114346.13,83
ENSG00000114353.16,22
ENSG00000114354.12,107
ENSG00000114383.9,5
ENSG00000114388.12,29
ENSG00000114391.12,1370
ENSG00000114395.10,3
ENSG00000114416.17,139
ENSG00000114439.18,34
ENSG00000114446.4,16
ENSG00000114450.9,20
ENSG00000114473.13,20
ENSG00000114480.12,17
ENSG00000114503.10,119
ENSG00000114520.10,26
ENSG00000114544.15,1
ENSG00000114554.11,56
ENSG00000114573.9,38
ENSG00000114626.17,15
ENSG00000114648.11,27
ENSG00000114650.18,23
ENSG00000114686.8,132
ENSG00000114737.15,107
ENSG00000114738.10,23
ENSG00000114742.13,31
ENSG00000114744.8,2
ENSG00000114745.13,6
ENSG00000114779.19,80
ENSG00000114784.3,410
ENSG00000114850.6,532
ENSG00000114857.17,26
ENSG00000114861.18,8
ENSG00000114867.19,54
ENSG00000114902.13,416
ENSG00000114942.13,381
ENSG00000114956.19,248
ENSG00000114978.17,126
ENSG00000114982.17,8
ENSG00000114988.11,32
ENSG00000115008.5,20
ENSG00000115020.16,2
ENSG00000115042.9,8
ENSG00000115053.15,289
ENSG00000115073.7,103
ENSG00000115084.12,35
ENSG00000115091.11,374
ENSG00000115128.6,828
ENSG00000115129.13,39
ENSG00000115163.14,17
ENSG00000115165.9,20
ENSG00000115204.14,124
ENSG00000115207.13,16
ENSG00000115211.15,22
ENSG00000115216.13,109
ENSG00000115233.11,299
ENSG00000115234.10,11
ENSG00000115239.21,7
ENSG00000115241.10,18
ENSG00000115255.10,84
ENSG00000115268.9,1919
ENSG00000115275.11,47
ENSG00000115286.19,63
ENSG00000115289.12,61
ENSG00000115306.15,32
ENSG00000115307.16,88
ENSG00000115310.17,235
ENSG00000115317.11,1
ENSG00000115325.13,22
ENSG00000115350.11,61
ENSG00000115355.15,25
ENSG00000115364.13,63
ENSG00000115365.11,15
ENSG00000115368.9,22
ENSG00000115392.11,3
ENSG00000115414.18,12
ENSG00000115415.18,24
ENSG00000115419.12,104
ENSG00000115446.11,11
ENSG00000115457.9,53
ENSG00000115464.14,25
ENSG00000115484.14,136
ENSG00000115486.11,23
ENSG00000115514.11,64
ENSG00000115520.8,21
ENSG00000115524.15,50
ENSG00000115526.10,28
ENSG00000115539.13,43
ENSG00000115540.14,89
ENSG00000115541.10,595
ENSG00000115548.16,68
ENSG00000115561.14,29
ENSG00000115641.18,26
ENSG00000115649.15,9
ENSG00000115652.14,15
ENSG00000115677.16,59
ENSG00000115685.14,36
ENSG00000115694.14,115
ENSG00000115738.9,1
ENSG00000115756.12,176
ENSG00000115758.12,101
ENSG00000115760.13,43
ENSG00000115761.15,27
ENSG00000115762.16,29
ENSG00000115806.12,260
ENSG00000115808.11,26
ENSG00000115816.13,49
ENSG00000115825.9,12
ENSG00000115839.17,31
ENSG00000115866.10,245
ENSG00000115875.18,182
ENSG00000115896.15,16
ENSG00000115902.10,28
ENSG00000115919.14,64
ENSG00000115942.8,9
ENSG00000115944.14,458
ENSG00000115946.7,55
ENSG00000115947.13,64
ENSG00000115966.16,93
ENSG00000115977.18,7
ENSG00000115998.7,17
ENSG00000116001.15,19
ENSG00000116017.10,64
ENSG00000116030.16,209
ENSG00000116044.15,217
ENSG00000116062.14,68
ENSG00000116095.10,52
ENSG00000116096.5,89
ENSG00000116120.9,133
ENSG00000116133.11,78
ENSG00000116138.12,12
ENSG00000116161.17,775
ENSG00000116171.16,245
ENSG00000116205.10,34
ENSG00000116209.11,573
ENSG00000116212.14,37
ENSG00000116213.15,32
ENSG00000116221.15,235
ENSG00000116237.15,16
ENSG00000116251.9,219
ENSG00000116266.10,57
ENSG00000116285.12,5
ENSG00000116288.12,563
ENSG00000116350.15,52
ENSG00000116353.15,45
ENSG00000116406.18,79
ENSG00000116455.13,49
ENSG00000116459.10,374
ENSG00000116473.14,77
ENSG00000116478.11,201
ENSG00000116489.12,227
ENSG00000116497.17,8
ENSG00000116521.10,17
ENSG00000116560.10,91
ENSG00000116580.18,3
ENSG00000116584.17,4
ENSG00000116586.11,209
ENSG00000116641.15,37
ENSG00000116649.9,183
ENSG00000116663.10,98
ENSG00000116670.14,220
ENSG00000116679.15,20
ENSG00000116685.15,10
ENSG00000116691.10,33
ENSG00000116698.20,74
ENSG00000116717.11,244
ENSG00000116741.7,17
ENSG00000116747.12,81
ENSG00000116750.13,142
ENSG00000116752.5,257
ENSG00000116754.13,49
ENSG00000116761.11,504
ENSG00000116786.11,22
ENSG00000116791.13,34
ENSG00000116793.15,12
ENSG00000116809.11,15
ENSG00000116815.15,287
ENSG00000116830.11,4
ENSG00000116852.14,11
ENSG00000116857.16,61
ENSG00000116863.10,99
ENSG00000116871.15,1
ENSG00000116898.11,275
ENSG00000116903.7,3
ENSG00000116906.11,16
ENSG00000116918.13,33
ENSG00000116954.7,27
ENSG00000116957.12,35
ENSG00000116977.18,30
ENSG00000116984.12,40
ENSG00000117036.11,29
ENSG00000117054.13,129
ENSG00000117091.9,20
ENSG00000117118.9,549
ENSG00000117133.10,40
ENSG00000117139.16,5
ENSG00000117143.13,182
ENSG00000117151.12,115
ENSG00000117153.15,33
ENSG00000117155.16,31
ENSG00000117174.10,29
ENSG00000117222.13,2
ENSG00000117262.18,16
ENSG00000117298.14,42
ENSG00000117305.14,155
ENSG00000117308.14,161
ENSG00000117318.8,8
ENSG00000117335.18,94
ENSG00000117362.12,88
ENSG00000117385.15,21
ENSG00000117394.19,46
ENSG00000117395.10,60
ENSG00000117399.13,114
ENSG00000117410.13,685
ENSG00000117411.16,6
ENSG00000117419.14,103
ENSG00000117448.13,352
ENSG00000117450.13,155
ENSG00000117475.13,28
ENSG00000117500.12,48
ENSG00000117505.12,88
ENSG00000117523.15,45
ENSG00000117528.11,1
ENSG00000117533.14,23
ENSG00000117543.19,11
ENSG00000117592.8,822
ENSG00000117593.9,41
ENSG00000117597.17,28
ENSG00000117614.9,126
ENSG00000117616.17,45
ENSG00000117625.13,48
ENSG00000117632.20,2437
ENSG00000117640.17,56
ENSG00000117643.14,1
ENSG00000117650.12,36
ENSG00000117676.13,15
ENSG00000117691.9,273
ENSG00000117697.14,174
ENSG00000117713.17,102
ENSG00000117724.12,30
ENSG00000117748.9,379
ENSG00000117751.17,10
ENSG00000117758.13,1
ENSG00000117859.18,332
ENSG00000117862.11,262
ENSG00000117868.15,13
ENSG00000117899.10,221
ENSG00000117906.13,24
ENSG00000117984.12,45
ENSG00000118007.12,22
ENSG00000118046.14,63
ENSG00000118058.20,77
ENSG00000118181.10,469
ENSG00000118193.11,1
ENSG00000118197.13,71
ENSG00000118217.5,8
ENSG00000118246.13,19
ENSG00000118260.14,1
ENSG00000118292.8,11
ENSG00000118363.11,253
ENSG00000118418.14,213
ENSG00000118420.16,28
ENSG00000118454.12,14
ENSG00000118482.11,128
ENSG00000118496.4,52
ENSG00000118503.14,12
ENSG00000118508.4,90
ENSG00000118513.18,91
ENSG00000118515.11,103
ENSG00000118518.15,18
ENSG00000118564.14,21
ENSG00000118579.11,153
ENSG00000118600.11,46
ENSG00000118620.12,28
ENSG00000118640.10,281
ENSG00000118680.12,1156
ENSG00000118705.16,420
ENSG00000118707.9,1
ENSG00000118762.7,3
ENSG00000118816.9,140
ENSG00000118855.18,21
ENSG00000118873.15,34
ENSG00000118894.14,5
ENSG00000118939.17,16
ENSG00000118960.12,22
ENSG00000118961.14,47
ENSG00000118971.7,59
ENSG00000118972.1,1
ENSG00000118985.14,4
ENSG00000119004.14,11
ENSG00000119013.8,353
ENSG00000119041.10,4
ENSG00000119042.16,29
ENSG00000119048.7,193
ENSG00000119125.16,22
ENSG00000119139.16,49
ENSG00000119185.12,3
ENSG00000119203.13,162
ENSG00000119231.10,18
ENSG00000119285.10,15
ENSG00000119314.15,22
ENSG00000119318.12,133
ENSG00000119326.14,127
ENSG00000119328.11,10
ENSG00000119333.11,164
ENSG00000119335.16,227
ENSG00000119383.19,25
ENSG00000119392.14,12
ENSG00000119396.10,33
ENSG00000119397.16,26
ENSG00000119401.10,1
ENSG00000119402.16,32
ENSG00000119403.13,191
ENSG00000119414.11,57
ENSG00000119421.6,298
ENSG00000119431.9,9
ENSG00000119446.13,62
ENSG00000119471.14,14
ENSG00000119514.6,99
ENSG00000119523.9,58
ENSG00000119537.15,52
ENSG00000119541.9,51
ENSG00000119559.15,1
ENSG00000119596.17,43
ENSG00000119616.11,1
ENSG00000119632.3,2
ENSG00000119640.8,30
ENSG00000119650.12,20
ENSG00000119655.8,67
ENSG00000119661.14,1
ENSG00000119669.4,12
ENSG00000119685.19,16
ENSG00000119688.20,44
ENSG00000119703.13,1
ENSG00000119705.9,847
ENSG00000119707.13,20
ENSG00000119718.10,123
ENSG00000119760.15,11
ENSG00000119772.16,23
ENSG00000119787.13,2
ENSG00000119801.12,20
ENSG00000119820.10,134
ENSG00000119866.20,2
ENSG00000119878.5,191
ENSG00000119888.10,2
ENSG00000119912.15,10
ENSG00000119929.12,31
ENSG00000119950.20,38
ENSG00000119953.12,25
ENSG00000119969.14,21
ENSG00000119977.20,21
ENSG00000119979.15,53
ENSG00000120008.15,8
ENSG00000120053.10,243
ENSG00000120055.7,1
ENSG00000120063.9,68
ENSG00000120071.12,1
ENSG00000120093.11,23
ENSG00000120129.5,56
ENSG00000120137.6,20
ENSG00000120158.11,17
ENSG00000120159.11,22
ENSG00000120253.13,11
ENSG00000120254.15,44
ENSG00000120265.16,455
ENSG00000120306.9,734
ENSG00000120333.4,197
ENSG00000120334.15,18
ENSG00000120370.12,26
ENSG00000120437.8,38
ENSG00000120438.11,169
ENSG00000120451.10,24
ENSG00000120509.10,50
ENSG00000120519.14,115
ENSG00000120526.10,83
ENSG00000120533.12,370
ENSG00000120539.14,43
ENSG00000120616.15,17
ENSG00000120647.9,17
ENSG00000120656.11,80
ENSG00000120685.19,47
ENSG00000120686.11,137
ENSG00000120688.8,1
ENSG00000120690.13,219
ENSG00000120697.8,75
ENSG00000120699.12,108
ENSG00000120705.12,56
ENSG00000120709.10,1
ENSG00000120725.12,18
ENSG00000120727.12,31
ENSG00000120733.13,38
ENSG00000120738.7,43
ENSG00000120742.10,625
ENSG00000120802.13,75
ENSG00000120805.13,117
ENSG00000120832.9,16
ENSG00000120833.13,30
ENSG00000120837.7,112
ENSG00000120860.10,115
ENSG00000120868.13,30
ENSG00000120875.8,1
ENSG00000120889.12,50
ENSG00000120896.13,21
ENSG00000120899.17,11
ENSG00000120910.14,2
ENSG00000120913.23,26
ENSG00000120915.13,24
ENSG00000120925.13,63
ENSG00000120942.13,48
ENSG00000120948.15,18
ENSG00000120963.11,417
ENSG00000120992.17,229
ENSG00000121022.13,126
ENSG00000121039.9,13
ENSG00000121057.12,8
ENSG00000121058.4,58
ENSG00000121060.14,28
ENSG00000121067.17,63
ENSG00000121073.13,136
ENSG00000121089.4,31
ENSG00000121104.7,37
ENSG00000121152.9,64
ENSG00000121211.7,206
ENSG00000121236.19,3
ENSG00000121289.17,16
ENSG00000121316.10,26
ENSG00000121350.15,33
ENSG00000121361.3,12
ENSG00000121390.17,13
ENSG00000121417.13,51
ENSG00000121481.10,26
ENSG00000121486.11,17
ENSG00000121542.11,15
ENSG00000121577.13,29
ENSG00000121578.12,1
ENSG00000121579.12,25
ENSG00000121621.6,32
ENSG00000121644.18,16
ENSG00000121680.15,34
ENSG00000121691.4,44
ENSG00000121741.16,5
ENSG00000121749.15,15
ENSG00000121766.14,82
ENSG00000121774.17,107
ENSG00000121775.17,4
ENSG00000121797.9,8
ENSG00000121851.12,39
ENSG00000121864.9,24
ENSG00000121895.7,11
ENSG00000121897.13,85
ENSG00000121900.18,1
ENSG00000121931.15,138
ENSG00000121940.15,17
ENSG00000121964.14,15
ENSG00000121988.17,1
ENSG00000122008.15,14
ENSG00000122026.10,1430
ENSG00000122033.14,22
ENSG00000122034.12,51
ENSG00000122042.9,1
ENSG00000122068.12,4
ENSG00000122085.16,36
ENSG00000122126.15,56
ENSG00000122133.16,76
ENSG00000122140.10,53
ENSG00000122203.14,34
ENSG00000122218.14,132
ENSG00000122257.18,46
ENSG00000122359.17,144
ENSG00000122386.10,1
ENSG00000122390.17,20
ENSG00000122406.12,767
ENSG00000122417.15,29
ENSG00000122481.16,39
ENSG00000122483.17,48
ENSG00000122512.14,12
ENSG00000122545.17,454
ENSG00000122550.17,44
ENSG00000122557.9,32
ENSG00000122565.18,220
ENSG00000122566.20,679
ENSG00000122591.11,6
ENSG00000122642.10,1
ENSG00000122643.18,160
ENSG00000122644.12,73
ENSG00000122687.17,51
ENSG00000122692.8,26
ENSG00000122694.15,1
ENSG00000122705.16,334
ENSG00000122741.15,49
ENSG00000122779.16,7
ENSG00000122783.16,1
ENSG00000122861.15,181
ENSG00000122862.4,533
ENSG00000122873.11,243
ENSG00000122882.10,80
ENSG00000122884.12,418
ENSG00000122952.16,294
ENSG00000122958.14,201
ENSG00000122965.10,29
ENSG00000122971.8,11
ENSG00000123009.4,2
ENSG00000123064.12,9
ENSG00000123066.7,29
ENSG00000123080.10,106
ENSG00000123091.4,124
ENSG00000123106.10,49
ENSG00000123119.11,84
ENSG00000123124.13,24
ENSG00000123131.12,560
ENSG00000123136.14,90
ENSG00000123143.12,18
ENSG00000123144.10,332
ENSG00000123154.11,5
ENSG00000123159.15,50
ENSG00000123178.14,66
ENSG00000123179.13,31
ENSG00000123191.13,24
ENSG00000123213.22,46
ENSG00000123219.12,315
ENSG00000123240.16,11
ENSG00000123268.8,16
ENSG00000123297.16,44
ENSG00000123329.17,19
ENSG00000123349.13,667
ENSG00000123352.17,45
ENSG00000123353.9,35
ENSG00000123374.10,44
ENSG00000123405.13,18
ENSG00000123415.14,113
ENSG00000123416.15,4
ENSG00000123472.12,36
ENSG00000123473.15,9
ENSG00000123485.11,21
ENSG00000123505.14,19
ENSG00000123545.5,151
ENSG00000123552.17,31
ENSG00000123562.16,241
ENSG00000123575.8,73
ENSG00000123584.7,1
ENSG00000123595.6,17
ENSG00000123600.18,50
ENSG00000123607.14,28
ENSG00000123609.10,333
ENSG00000123636.17,1
ENSG00000123689.5,349
ENSG00000123700.4,1
ENSG00000123737.12,54
ENSG00000123739.10,127
ENSG00000123810.7,76
ENSG00000123815.11,10
ENSG00000123908.11,1
ENSG00000123933.14,2
ENSG00000123975.4,562
ENSG00000123983.13,165
ENSG00000123992.18,44
ENSG00000123999.4,15
ENSG00000124019.9,18
ENSG00000124074.11,18
ENSG00000124092.12,98
ENSG00000124098.9,64
ENSG00000124155.16,36
ENSG00000124159.15,19
ENSG00000124164.15,28
ENSG00000124171.8,6
ENSG00000124172.9,1959
ENSG00000124177.14,41
ENSG00000124181.14,9
ENSG00000124193.14,40
ENSG00000124201.14,15
ENSG00000124207.16,106
ENSG00000124209.3,25
ENSG00000124214.19,42
ENSG00000124216.3,9
ENSG00000124217.4,7
ENSG00000124222.21,45
ENSG00000124226.10,199
ENSG00000124228.14,28
ENSG00000124279.11,1
ENSG00000124299.13,47
ENSG00000124356.15,151
ENSG00000124357.12,17
ENSG00000124370.10,102
ENSG00000124380.10,87
ENSG00000124383.8,134
ENSG00000124399.4,5
ENSG00000124422.11,3
ENSG00000124486.12,30
ENSG00000124523.14,56
ENSG00000124532.14,21
ENSG00000124535.15,1
ENSG00000124541.6,62
ENSG00000124562.9,901
ENSG00000124570.17,189
ENSG00000124571.17,25
ENSG00000124575.6,30
ENSG00000124588.19,159
ENSG00000124596.16,95
ENSG00000124608.4,22
ENSG00000124614.13,5
ENSG00000124635.8,20
ENSG00000124641.14,16
ENSG00000124659.6,57
ENSG00000124688.13,67
ENSG00000124702.17,110
ENSG00000124721.17,4
ENSG00000124733.3,67
ENSG00000124743.5,1
ENSG00000124762.13,17
ENSG00000124767.6,447
ENSG00000124782.19,21
ENSG00000124783.12,407
ENSG00000124784.8,48
ENSG00000124786.9,71
ENSG00000124787.13,22
ENSG00000124789.11,2
ENSG00000124795.14,437
ENSG00000124802.11,693
ENSG00000124831.18,59
ENSG00000124942.13,12
ENSG00000125037.12,252
ENSG00000125107.16,14
ENSG00000125124.11,11
ENSG00000125148.6,100
ENSG00000125166.12,22
ENSG00000125257.13,1
ENSG00000125304.8,142
ENSG00000125319.14,21
ENSG00000125347.13,37
ENSG00000125351.10,49
ENSG00000125352.5,99
ENSG00000125354.22,89
ENSG00000125356.6,186
ENSG00000125375.14,49
ENSG00000125384.6,1
ENSG00000125386.14,16
ENSG00000125430.8,12
ENSG00000125445.10,24
ENSG00000125447.16,33
ENSG00000125450.10,19
ENSG00000125454.11,24
ENSG00000125457.13,16
ENSG00000125458.6,65
ENSG00000125459.14,4
ENSG00000125482.12,24
ENSG00000125503.12,9
ENSG00000125520.13,42
ENSG00000125534.9,63
ENSG00000125611.15,40
ENSG00000125629.14,36
ENSG00000125630.15,6
ENSG00000125648.14,12
ENSG00000125651.13,26
ENSG00000125652.7,90
ENSG00000125656.8,106
ENSG00000125657.4,78
ENSG00000125676.19,94
ENSG00000125686.11,34
ENSG00000125691.12,782
ENSG00000125703.14,40
ENSG00000125730.16,5
ENSG00000125733.17,6
ENSG00000125734.13,26
ENSG00000125735.10,2
ENSG00000125740.13,34
ENSG00000125743.10,1436
ENSG00000125753.13,87
ENSG00000125772.12,12
ENSG00000125779.21,21
ENSG00000125812.15,19
ENSG00000125817.7,4
ENSG00000125818.17,20
ENSG00000125821.11,197
ENSG00000125826.19,131
ENSG00000125827.8,88
ENSG00000125835.17,402
ENSG00000125863.17,277
ENSG00000125868.15,256
ENSG00000125870.10,239
ENSG00000125871.13,28
ENSG00000125875.13,17
ENSG00000125877.12,122
ENSG00000125885.13,4
ENSG00000125898.12,33
ENSG00000125901.5,54
ENSG00000125912.10,17
ENSG00000125944.18,236
ENSG00000125945.14,31
ENSG00000125952.18,10
ENSG00000125962.14,14
ENSG00000125967.16,5
ENSG00000125968.8,24
ENSG00000125970.11,94
ENSG00000125971.16,391
ENSG00000125977.6,556
ENSG00000125991.18,140
ENSG00000125995.15,393
ENSG00000126001.15,1
ENSG00000126005.15,9
ENSG00000126012.11,12
ENSG00000126062.3,7
ENSG00000126067.11,609
ENSG00000126070.18,17
ENSG00000126088.12,245
ENSG00000126091.19,32
ENSG00000126106.13,21
ENSG00000126214.20,33
ENSG00000126246.9,19
ENSG00000126247.10,36
ENSG00000126249.7,20
ENSG00000126254.11,63
ENSG00000126261.12,241
ENSG00000126264.9,13
ENSG00000126267.8,1053
ENSG00000126351.12,9
ENSG00000126391.13,43
ENSG00000126432.13,728
ENSG00000126453.9,219
ENSG00000126456.15,20
ENSG00000126457.20,114
ENSG00000126458.3,63
ENSG00000126467.10,1
ENSG00000126522.16,25
ENSG00000126524.9,339
ENSG00000126561.16,3
ENSG00000126653.15,147
ENSG00000126698.10,210
ENSG00000126749.14,101
ENSG00000126752.7,41
ENSG00000126756.11,290
ENSG00000126759.12,8
ENSG00000126767.17,5
ENSG00000126768.12,182
ENSG00000126773.12,5
ENSG00000126777.17,261
ENSG00000126787.12,74
ENSG00000126790.11,29
ENSG00000126804.13,12
ENSG00000126814.6,7
ENSG00000126858.16,35
ENSG00000126870.15,30
ENSG00000126882.12,14
ENSG00000126883.16,75
ENSG00000126903.15,2
ENSG00000126934.13,76
ENSG00000126945.8,3
ENSG00000126953.5,124
ENSG00000127022.14,253
ENSG00000127054.18,105
ENSG00000127125.8,48
ENSG00000127184.10,1269
ENSG00000127241.16,4
ENSG00000127314.17,82
ENSG00000127328.21,1
ENSG00000127334.10,2
ENSG00000127337.6,176
ENSG00000127399.14,85
ENSG00000127423.10,30
ENSG00000127445.13,100
ENSG00000127452.8,49
ENSG00000127481.14,61
ENSG00000127483.17,100
ENSG00000127511.9,30
ENSG00000127527.13,17
ENSG00000127540.11,156
ENSG00000127554.12,42
ENSG00000127561.14,22
ENSG00000127564.16,4
ENSG00000127580.15,12
ENSG00000127586.16,8
ENSG00000127589.4,10
ENSG00000127603.23,105
ENSG00000127616.17,1
ENSG00000127663.14,27
ENSG00000127774.6,1
ENSG00000127804.12,57
ENSG00000127824.13,31
ENSG00000127837.9,49
ENSG00000127838.13,95
ENSG00000127870.16,13
ENSG00000127884.4,201
ENSG00000127914.16,59
ENSG00000127922.9,609
ENSG00000127928.12,1
ENSG00000127946.16,13
ENSG00000127947.15,16
ENSG00000127952.16,93
ENSG00000127957.16,7
ENSG00000127980.15,15
ENSG00000127989.13,11
ENSG00000127993.14,20
ENSG00000128016.5,1
ENSG00000128050.8,704
ENSG00000128059.8,16
ENSG00000128185.9,323
ENSG00000128191.13,1
ENSG00000128228.4,2390
ENSG00000128245.14,147
ENSG00000128272.14,443
ENSG00000128283.6,51
ENSG00000128309.16,42
ENSG00000128311.13,17
ENSG00000128340.14,136
ENSG00000128463.12,160
ENSG00000128487.16,4
ENSG00000128513.14,70
ENSG00000128524.4,356
ENSG00000128534.7,1155
ENSG00000128563.13,30
ENSG00000128567.16,2
ENSG00000128581.15,28
ENSG00000128585.17,8
ENSG00000128590.4,335
ENSG00000128591.15,32
ENSG00000128595.16,482
ENSG00000128607.13,21
ENSG00000128609.14,376
ENSG00000128626.11,92
ENSG00000128654.13,101
ENSG00000128694.11,10
ENSG00000128699.13,107
ENSG00000128708.12,541
ENSG00000128789.20,161
ENSG00000128791.11,21
ENSG00000128829.11,42
ENSG00000128915.11,16
ENSG00000128918.14,81
ENSG00000128923.10,26
ENSG00000128944.13,14
ENSG00000128951.13,464
ENSG00000128989.10,43
ENSG00000129003.15,44
ENSG00000129007.14,2
ENSG00000129055.12,130
ENSG00000129071.9,85
ENSG00000129083.12,252
ENSG00000129084.17,413
ENSG00000129103.17,16
ENSG00000129128.12,458
ENSG00000129158.10,1
ENSG00000129173.12,71
ENSG00000129187.14,104
ENSG00000129195.15,1
ENSG00000129197.14,33
ENSG00000129235.10,712
ENSG00000129292.20,38
ENSG00000129317.14,100
ENSG00000129351.17,52
ENSG00000129353.14,5
ENSG00000129355.6,15
ENSG00000129460.15,60
ENSG00000129472.12,1
ENSG00000129473.9,20
ENSG00000129474.15,19
ENSG00000129515.18,129
ENSG00000129518.8,103
ENSG00000129534.13,4
ENSG00000129559.12,232
ENSG00000129562.10,747
ENSG00000129625.12,56
ENSG00000129657.14,1
ENSG00000129675.15,139
ENSG00000129680.15,17
ENSG00000129691.15,146
ENSG00000129810.14,19
ENSG00000129925.10,1
ENSG00000129933.20,18
ENSG00000129968.15,20
ENSG00000129990.14,16
ENSG00000129991.12,21
ENSG00000130005.11,104
ENSG00000130021.13,57
ENSG00000130023.15,51
ENSG00000130024.14,19
ENSG00000130032.15,9
ENSG00000130052.13,15
ENSG00000130066.16,197
ENSG00000130150.11,39
ENSG00000130159.13,17
ENSG00000130164.11,2
ENSG00000130165.10,111
ENSG00000130175.9,16
ENSG00000130177.14,10
ENSG00000130193.7,28
ENSG00000130203.9,97
ENSG00000130204.12,77
ENSG00000130208.9,225
ENSG00000130224.14,21
ENSG00000130244.12,1
ENSG00000130254.11,21
ENSG00000130255.12,1518
ENSG00000130299.16,11
ENSG00000130303.12,604
ENSG00000130305.16,33
ENSG00000130309.10,22
ENSG00000130311.10,66
ENSG00000130312.6,156
ENSG00000130313.6,93
ENSG00000130332.14,587
ENSG00000130338.12,5
ENSG00000130347.12,8
ENSG00000130348.11,4
ENSG00000130349.9,55
ENSG00000130363.11,37
ENSG00000130396.20,86
ENSG00000130402.11,16
ENSG00000130414.11,63
ENSG00000130429.12,787
ENSG00000130449.5,1
ENSG00000130475.14,40
ENSG00000130489.12,13
ENSG00000130511.15,18
ENSG00000130513.6,698
ENSG00000130520.10,341
ENSG00000130522.5,63
ENSG00000130528.11,26
ENSG00000130544.11,16
ENSG00000130560.8,92
ENSG00000130590.13,12
ENSG00000130638.15,49
ENSG00000130695.13,41
ENSG00000130703.15,19
ENSG00000130706.12,143
ENSG00000130713.15,59
ENSG00000130717.12,8
ENSG00000130720.12,23
ENSG00000130723.17,18
ENSG00000130724.8,231
ENSG00000130725.7,102
ENSG00000130726.11,22
ENSG00000130731.15,180
ENSG00000130733.10,21
ENSG00000130741.10,35
ENSG00000130748.6,201
ENSG00000130749.9,17
ENSG00000130755.12,563
ENSG00000130764.9,16
ENSG00000130766.4,79
ENSG00000130770.17,1513
ENSG00000130772.13,35
ENSG00000130775.15,16
ENSG00000130779.19,54
ENSG00000130811.10,73
ENSG00000130816.14,218
ENSG00000130821.15,56
ENSG00000130822.15,5
ENSG00000130826.15,156
ENSG00000130830.14,279
ENSG00000130844.16,32
ENSG00000130921.7,29
ENSG00000130935.9,72
ENSG00000130985.16,8
ENSG00000131013.3,79
ENSG00000131015.4,18
ENSG00000131023.12,47
ENSG00000131051.20,113
ENSG00000131069.19,31
ENSG00000131100.12,234
ENSG00000131116.11,11
ENSG00000131143.8,810
ENSG00000131148.8,51
ENSG00000131149.17,69
ENSG00000131153.8,225
ENSG00000131165.14,33
ENSG00000131171.12,218
ENSG00000131174.4,664
ENSG00000131187.9,2
ENSG00000131188.11,11
ENSG00000131236.16,329
ENSG00000131238.16,149
ENSG00000131263.12,63
ENSG00000131269.15,105
ENSG00000131323.14,2
ENSG00000131351.14,38
ENSG00000131368.7,89
ENSG00000131373.14,133
ENSG00000131374.14,17
ENSG00000131375.9,19
ENSG00000131381.12,24
ENSG00000131408.13,43
ENSG00000131446.15,14
ENSG00000131459.12,53
ENSG00000131462.7,40
ENSG00000131469.12,1403
ENSG00000131470.14,6
ENSG00000131473.16,36
ENSG00000131475.6,214
ENSG00000131495.8,312
ENSG00000131503.20,17
ENSG00000131504.15,61
ENSG00000131507.10,61
ENSG00000131508.15,290
ENSG00000131558.14,13
ENSG00000131626.15,30
ENSG00000131652.13,12
ENSG00000131669.9,66
ENSG00000131711.14,282
ENSG00000131721.4,3
ENSG00000131724.10,5
ENSG00000131732.11,3
ENSG00000131747.14,166
ENSG00000131748.15,35
ENSG00000131778.17,57
ENSG00000131779.10,49
ENSG00000131828.13,105
ENSG00000131844.15,56
ENSG00000131848.9,32
ENSG00000131871.14,243
ENSG00000131873.5,20
ENSG00000131876.16,211
ENSG00000131931.8,25
ENSG00000131943.17,26
ENSG00000131944.9,16
ENSG00000131966.13,27
ENSG00000131969.14,2
ENSG00000131979.18,2
ENSG00000132002.7,51
ENSG00000132017.10,1
ENSG00000132109.9,31
ENSG00000132122.11,2
ENSG00000132128.16,25
ENSG00000132141.13,23
ENSG00000132153.14,126
ENSG00000132155.11,29
ENSG00000132182.11,47
ENSG00000132185.16,165
ENSG00000132196.13,13
ENSG00000132199.18,24
ENSG00000132204.13,24
ENSG00000132254.12,49
ENSG00000132275.10,32
ENSG00000132286.11,38
ENSG00000132294.13,70
ENSG00000132300.18,8
ENSG00000132305.20,87
ENSG00000132313.14,138
ENSG00000132323.8,18
ENSG00000132330.16,10
ENSG00000132341.11,837
ENSG00000132356.11,3
ENSG00000132376.19,4
ENSG00000132382.14,10
ENSG00000132383.11,99
ENSG00000132386.10,47
ENSG00000132388.12,47
ENSG00000132394.10,18
ENSG00000132406.11,52
ENSG00000132424.14,45
ENSG00000132432.13,1866
ENSG00000132434.9,30
ENSG00000132463.13,47
